From City,latitude,longitude,To City,latitude,longitude
 Sydney ,-33.9498935,151.1819682, Melbourne ,-37.667111,144.8334808
 Sydney ,-33.9498935,151.1819682, Brisbane ,-27.3874138,153.1214765
 Sydney ,-33.9498935,151.1819682, Canberra ,-35.30287875,149.1918006
 Canberra ,-35.30287875,149.1918006, Sydney ,-33.9498935,151.1819682
 Sydney ,-33.9498935,151.1819682, Newcastle ,-32.79461255,151.8401142
 Newcastle ,-32.79461255,151.8401142, Sydney ,-33.9498935,151.1819682
 Sydney ,-33.9498935,151.1819682, Broken Hill ,-32.00625895,141.4708936
 Broken Hill ,-32.00625895,141.4708936, Sydney ,-33.9498935,151.1819682
 Melbourne ,-37.667111,144.8334808, Sydney ,-33.9498935,151.1819682
 Melbourne ,-37.667111,144.8334808, Canberra ,-35.30287875,149.1918006
 Canberra ,-35.30287875,149.1918006, Melbourne ,-37.667111,144.8334808
 Melbourne ,-37.667111,144.8334808, Adelaide ,-34.94724045,138.5330688
 Melbourne ,-37.667111,144.8334808, Hobart ,-42.8363065,147.508524
 Melbourne ,-37.667111,144.8334808, Bendigo ,-36.75818,144.28024
 Bendigo ,-36.75818,144.28024, Melbourne ,-37.667111,144.8334808
 Melbourne ,-37.667111,144.8334808, Launceston ,-41.54372585,147.2132608
 Adelaide ,-34.94724045,138.5330688, Melbourne ,-37.667111,144.8334808
 Adelaide ,-34.94724045,138.5330688, Broken Hill ,-32.00625895,141.4708936
 Broken Hill ,-32.00625895,141.4708936, Adelaide ,-34.94724045,138.5330688
 Adelaide ,-34.94724045,138.5330688, Perth ,-31.9431218,115.966806
 Adelaide ,-34.94724045,138.5330688, Darwin ,-12.4066026,130.8792225
 Darwin ,-12.4066026,130.8792225, Adelaide ,-34.94724045,138.5330688
 Darwin ,-12.4066026,130.8792225, Alice Springs,-23.8062855,133.897735
 Alice Springs ,-23.8062855,133.897735, Darwin ,-12.4066026,130.8792225
 Perth ,-31.9431218,115.966806, Adelaide ,-34.94724045,138.5330688
 Perth ,-31.9431218,115.966806, Albany ,-34.9443954,117.8095889
 Perth ,-31.9431218,115.966806, Kalgoorlie ,-30.78775205,121.4556635
 Perth ,-31.9431218,115.966806, Broome ,-17.95538,122.23922
 Albany ,-34.9443954,117.8095889, Perth ,-31.9431218,115.966806
 Kalgoorlie ,-30.78775205,121.4556635, Perth ,-31.9431218,115.966806
 Broome ,-17.95538,122.23922, Perth ,-31.9431218,115.966806
 Launceston ,-41.54372585,147.2132608, Melbourne ,-37.667111,144.8334808
 Launceston ,-41.54372585,147.2132608, Hobart ,-42.8363065,147.508524
 Hobart ,-42.8363065,147.508524, Melbourne ,-37.667111,144.8334808
 Hobart ,-42.8363065,147.508524, Launceston ,-41.54372585,147.2132608
 Brisbane ,-27.3874138,153.1214765, Sydney ,-33.9498935,151.1819682
 Brisbane ,-27.3874138,153.1214765, Mt Isa ,-20.6661532,139.488962
 Brisbane ,-27.3874138,153.1214765, Rockhampton ,-23.38307695,150.4721385
 Brisbane ,-27.3874138,153.1214765, Cairns ,-16.8777892,145.7515495
 Brisbane ,-27.3874138,153.1214765, Darwin ,-12.4066026,130.8792225
 Mt Isa ,-20.6661532,139.488962, Brisbane ,-27.3874138,153.1214765
 Rockhampton ,-23.38307695,150.4721385, Brisbane ,-27.3874138,153.1214765
 Cairns ,-16.8777892,145.7515495, Brisbane ,-27.3874138,153.1214765
 Darwin ,-12.4066026,130.8792225, Brisbane ,-27.3874138,153.1214765
 Mt Isa ,-20.6661532,139.488962, Darwin ,-12.4066026,130.8792225
 Darwin ,-12.4066026,130.8792225, Mt Isa ,-20.6661532,139.488962
 Adelaide ,-34.94724045,138.5330688, Pt Augusta ,-32.4925,137.765839
 Pt Augusta ,-32.4925,137.765839, Adelaide ,-34.94724045,138.5330688
